id,time_stamp,symbol,quote_count,trade_count,open_px,close_px,high_px,low_px,created,modified
1,2013-07-19 08:47:00.000458+01,LFZ,304,24,6387.0000000000,6386.5000000000,6387.0000000000,6386.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
2,2013-07-19 08:47:00.000458+01,EUR/GBP,69,1,0.8422500000,0.8422500000,0.8422500000,0.8422500000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
3,2013-07-19 08:48:00.000188+01,6A,705,39,1.0296000000,1.0295000000,1.0297000000,1.0295000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
4,2013-07-19 08:48:00.000188+01,FDAX,1105,44,7859.0000000000,7861.5000000000,7862.0000000000,7859.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
5,2013-07-19 08:48:00.000188+01,LFZ,250,26,6386.5000000000,6387.5000000000,6388.0000000000,6386.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
6,2013-07-19 08:48:00.000188+01,EUR/GBP,149,2,0.8423500000,0.8424500000,0.8424500000,0.8423500000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
7,2013-07-19 08:49:00.000458+01,6A,404,19,1.0295000000,1.0295000000,1.0296000000,1.0295000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
8,2013-07-19 08:49:00.000458+01,FDAX,432,22,7861.5000000000,7862.5000000000,7863.5000000000,7861.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
9,2013-07-19 08:49:00.000458+01,LFZ,169,13,6388.0000000000,6389.5000000000,6389.5000000000,6388.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
10,2013-07-19 08:49:00.000458+01,EUR/GBP,135,2,0.8427000000,0.8426500000,0.8427000000,0.8426500000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
11,2013-07-19 08:50:00.000456+01,6A,537,27,1.0295000000,1.0294000000,1.0295000000,1.0294000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
12,2013-07-19 08:50:00.000456+01,FDAX,966,57,7863.5000000000,7860.5000000000,7863.5000000000,7858.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
13,2013-07-19 08:50:00.000456+01,LFZ,266,11,6389.5000000000,6388.0000000000,6389.5000000000,6388.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
14,2013-07-19 08:50:00.000456+01,EUR/GBP,80,0,0.8426750000,0.8426750000,0.8426750000,0.8426750000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
15,2013-07-19 08:51:00.000545+01,6A,781,131,1.0294000000,1.0293000000,1.0295000000,1.0293000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
16,2013-07-19 08:51:00.000545+01,FDAX,930,40,7861.0000000000,7861.5000000000,7863.0000000000,7859.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
17,2013-07-19 08:51:00.000545+01,LFZ,269,15,6388.0000000000,6390.0000000000,6390.0000000000,6387.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
18,2013-07-19 08:51:00.000545+01,EUR/GBP,102,1,0.8428000000,0.8428000000,0.8428000000,0.8428000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
19,2013-07-19 08:52:00.000428+01,6A,562,26,1.0294000000,1.0293000000,1.0294000000,1.0292000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
20,2013-07-19 08:52:00.000428+01,FDAX,744,16,7861.0000000000,7863.5000000000,7863.5000000000,7860.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
21,2013-07-19 08:52:00.000428+01,LFZ,292,17,6390.0000000000,6391.5000000000,6391.5000000000,6389.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
22,2013-07-19 08:52:00.000428+01,EUR/GBP,108,2,0.8426500000,0.8426000000,0.8426500000,0.8426000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
23,2013-07-19 08:53:00.000428+01,6A,281,11,1.0293000000,1.0293000000,1.0293000000,1.0293000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
